tt2140553, est=8.47965519672948
tt0081846, est=8.485882723513075
tt5491994, est=8.493235941207915
tt1479962, est=8.50275728962319
tt1568322, est=8.510734349419534
tt1877514, est=8.518343533446552
tt0071075, est=8.51977031660955
tt0397042, est=8.545421519855788
tt5275892, est=8.558307170897388
tt2103188, est=8.794842040254897
