UserID,MovieID,Rating 
ur66355076,tt3501632,7
ur66355076,tt5776858,8
ur66355076,tt2543164,9
ur66355076,tt1856101,8
ur66355076,tt1825683,9
ur66355076,tt3385516,7
ur66355076,tt0417741,8
ur66355076,tt0330373,9
ur66355076,tt5580390,10
ur66355076,tt2380307,8
ur66355076,tt4622512,6
ur66355076,tt5027774,7
ur66355076,tt5013056,8
ur66355076,tt3521126,8
ur66355076,tt3262342,6
ur66355076,tt5580036,8
ur66355076,tt0083658,9
ur66355076,tt5639354,8
ur66355076,tt1700841,3
ur66355076,tt6293516,7
ur66355076,tt4925292,7
ur66355076,tt4846232,9
ur66355076,tt5726616,8
ur66355076,tt2406566,5
ur66355076,tt1396484,8
ur35015735,tt0040746,6
ur1640094,tt0381061,8
ur1640094,tt0120780,8
ur35015735,tt2306299,6
ur66355076,tt0104029,7
ur1640094,tt7587890,6
ur35015735,tt0117666,8
ur66355076,tt4649466,6
ur1640094,tt0095250,5
ur35015735,tt1396484,6
ur1640094,tt9561862,5
ur89170002,tt0119396,6
ur35015735,tt1133985,2
ur1640094,tt6966692,8
ur89170002,tt3398228,7
ur35015735,tt3501632,7
ur1640094,tt7914416,6
ur89170002,tt3398228,7
ur35015735,tt2802850,9
ur89170002,tt3398228,7
ur35015735,tt0974015,6
ur18347128,tt0100994,9
ur89170002,tt3398228,7
ur35015735,tt1856101,8
ur18347128,tt0089175,9
ur89170002,tt3398228,8
ur18347128,tt0093177,9
ur35015735,tt0091763,8
ur89170002,tt3398228,6
ur66355076,tt4680182,7
ur66355076,tt2239822,4
ur89170002,tt7653254,8
ur35015735,tt0110357,9
ur66355076,tt3469046,1
ur89170002,tt0050825,9
ur66355076,tt0974015,7
ur35015735,tt0053604,8
ur89170002,tt8526872,6
ur66355076,tt2699128,10
ur35015735,tt0398286,4
ur89170002,tt1028528,7
ur66355076,tt1648190,2
ur35015735,tt3040964,6
ur89170002,tt0090863,6
ur66355076,tt5536736,6
ur35015735,tt0063522,8
ur66355076,tt2345759,6
ur1640094,tt1740299,10
ur35015735,tt1588170,6
ur1640094,tt1806234,7
ur35015735,tt0073195,8
ur1640094,tt6450804,8
ur89170002,tt3398228,7
ur35015735,tt0050212,8
ur1640094,tt7286456,8
ur89170002,tt3398228,7
ur35015735,tt5700672,7
ur1640094,tt6890376,7
ur1640094,tt1677720,4
ur35015735,tt1091191,5
ur89170002,tt3398228,6
ur1640094,tt0070510,8
ur89170002,tt0068309,4
ur35015735,tt0213149,4
ur1640094,tt7049682,10
ur89170002,tt3398228,8
ur1640094,tt8289480,6
ur35015735,tt2560140,7
ur89170002,tt3398228,7
