UserID, MovieID, Rating 
ur31518873,tt1298650,6
ur31518873,tt0099685,7
ur31518873,tt0268978,8
ur31518873,tt0097576,7
ur31518873,tt0368891,6
ur31518873,tt0107688,7
ur31518873,tt2005374,6
ur31518873,tt0119137,7
ur31518873,tt0139654,6
ur31518873,tt2096673,7
ur31518873,tt0119282,7
ur31518873,tt0120591,7
ur31518873,tt0399146,7
ur31518873,tt1057500,7
ur31518873,tt1670345,7
ur31518873,tt0312004,7
ur31518873,tt0416449,7
ur31518873,tt1024648,7
ur31518873,tt1790885,7
ur31518873,tt1454029,8
ur31518873,tt2980516,7
ur31518873,tt0257044,7
ur31518873,tt1491044,7
ur31518873,tt1392214,8
ur31518873,tt0083866,6
ur31518873,tt1568911,7
ur31518873,tt0365907,7
ur31518873,tt2024469,7
ur31518873,tt0454921,7
ur31518873,tt1535108,6
ur31518873,tt0087469,7
ur31518873,tt0082971,7
ur31518873,tt0367882,6
ur31518873,tt0108052,8
ur31518873,tt0443706,7
ur31518873,tt0499549,7
ur31518873,tt0338751,6
ur31518873,tt0407887,8
ur31518873,tt0075314,7
ur31518873,tt0113189,7
ur31518873,tt0120338,7
ur31518873,tt0097441,7
ur31518873,tt0110322,7
ur31518873,tt1034303,7
ur31518873,tt0490215,7
ur31518873,tt0120815,8
ur31518873,tt0120737,7
ur31518873,tt1067106,7
ur31518873,tt0362227,7
ur31518873,tt1454468,7
ur31518873,tt0170016,7
ur31518873,tt2379713,7
ur31518873,tt2084970,7
ur31518873,tt2446042,6
ur31518873,tt1535109,7
ur31518873,tt0369339,7
ur31518873,tt1568338,7
ur31518873,tt0096874,7
ur31518873,tt0088763,7
ur31518873,tt0449088,7
ur31518873,tt2719848,7
ur31518873,tt0363771,7
ur31518873,tt0383574,7
ur31518873,tt0325980,8
ur31518873,tt2381249,7
ur31518873,tt0117060,7
ur31518873,tt1462758,7
ur31518873,tt0212720,7
ur31518873,tt2302755,7
ur31518873,tt0118571,6
ur31518873,tt0327056,8
ur31518873,tt0117913,7
ur31518873,tt0113497,6
ur31518873,tt1649419,7
ur31518873,tt0480249,7
ur31518873,tt0429573,7
ur31518873,tt0407304,6
ur31518873,tt1397280,7
ur31518873,tt0936501,7
ur31518873,tt0160399,7
ur31518873,tt0161081,8
ur31518873,tt0183523,7
ur31518873,tt1170358,8
ur31518873,tt0903624,7
ur31518873,tt0167260,8
ur31518873,tt0102945,7
