UserID,UserIndex
ur31518873,0
ur0937743,1
ur37938294,2
ur106196708,3
ur56387266,4
ur75809935,5
ur4823391,6
ur53458180,7
ur50306943,8
ur48697303,9
ur13354896,10
ur1941835,11
ur23155168,12
ur2449095,13
ur103317327,14
ur0915482,15
ur2109734,16
ur0366419,17
ur13576107,18
ur25701203,19
ur0642638,20
ur4982534,21
ur4324198,22
ur0345596,23
ur53137610,24
ur3404495,25
ur2521222,26
ur29348863,27
ur53053227,28
ur0989940,29
ur59488753,30
ur30163554,31
ur5358902,32
ur8282981,33
ur107065132,34
ur11750202,35
ur2183477,36
ur68664566,37
ur13588546,38
ur13178622,39
ur0079821,40
ur4405474,41
ur0463200,42
ur2707735,43
ur49490106,44
ur13977076,45
ur10334028,46
ur68359201,47
ur65733095,48
ur1212269,49
ur84360936,50
ur33146081,51
ur59126296,52
ur10348034,53
ur25364506,54
ur26953865,55
ur47501801,56
ur49159818,57
ur2257122,58
ur3329978,59
ur0812631,60
ur0631986,61
ur33931031,62
ur20961309,63
ur1142410,64
ur3910585,65
ur2586978,66
ur39332562,67
ur18380202,68
ur61859192,69
ur0065243,70
ur2354731,71
ur67050891,72
ur67826053,73
ur24364152,74
ur53903835,75
ur86926253,76
ur48664984,77
ur18616628,78
ur46647047,79
ur3212364,80
ur22131361,81
ur1416505,82
ur12230254,83
ur4062408,84
ur66959411,85
ur47939660,86
ur20315186,87
ur49370025,88
ur26092937,89
ur92665840,90
ur4944007,91
ur2973329,92
ur0222418,93
ur28159509,94
ur0391152,95
ur3935999,96
ur74356998,97
ur0680065,98
ur5232598,99
ur82462880,100
ur2614363,101
ur5237888,102
ur5411269,103
ur17695787,104
ur0449021,105
ur0639494,106
ur104894158,107
ur37679586,108
ur0000595,109
ur65741743,110
ur16029197,111
ur39914859,112
ur67902729,113
ur0896077,114
ur59506073,115
ur21283736,116
ur0488634,117
ur19411933,118
ur11305421,119
ur1675392,120
ur0865770,121
ur1448650,122
ur34836174,123
ur35095798,124
ur110212703,125
ur30431619,126
ur1355003,127
ur18271282,128
ur50049866,129
ur19892172,130
ur69903581,131
ur42251628,132
ur18507513,133
ur49438390,134
ur63667848,135
ur46420090,136
ur4155019,137
ur84177019,138
ur3900151,139
ur40061024,140
ur48129689,141
ur5291991,142
ur61420976,143
ur0178741,144
ur42535656,145
ur27293423,146
ur15298231,147
ur0102816,148
ur42899593,149
ur2542703,150
ur1116241,151
ur0137908,152
ur0179443,153
ur1234929,154
ur42901116,155
ur22476212,156
ur69980801,157
ur1204476,158
ur0650255,159
ur31261952,160
ur4231429,161
ur32037037,162
ur15780544,163
ur32141320,164
ur64212521,165
ur50009926,166
ur19444854,167
ur66282735,168
ur89333699,169
ur0968789,170
ur20962118,171
ur50947585,172
ur2286081,173
ur62030816,174
ur47016765,175
ur0210789,176
ur82535306,177
ur3032357,178
ur63713091,179
ur20817083,180
ur64746707,181
ur33374263,182
ur96416540,183
ur0035960,184
ur0147399,185
ur11996903,186
ur17646017,187
ur14330747,188
ur70682706,189
ur34049683,190
ur2860723,191
ur24471871,192
ur5233582,193
ur45020579,194
ur4248714,195
ur38586606,196
ur3441650,197
ur7752337,198
ur10491760,199
ur66355076,200
ur35015735,201
ur1640094,202
ur89170002,203
ur18347128,204
ur67545807,205
ur1225584,206
ur89503260,207
ur17067687,208
ur2363715,209
ur54260857,210
ur33697153,211
ur64692377,212
ur36413608,213
ur12583377,214
ur45663621,215
ur15327507,216
ur5189647,217
ur2691558,218
ur6739749,219
ur53186634,220
ur95768270,221
ur20531137,222
ur7383416,223
ur1915039,224
ur6879155,225
ur25759500,226
ur66322155,227
ur10919398,228
ur10755527,229
ur0509769,230
ur88055067,231
ur98946302,232
ur53660798,233
ur0270026,234
ur26529321,235
ur9972457,236
ur19752191,237
ur83178856,238
ur0171876,239
ur23249778,240
ur20767592,241
ur3967726,242
ur24880647,243
ur9725326,244
ur45390749,245
ur17029428,246
ur0382572,247
ur6074899,248
ur41569276,249
ur1616919,250
ur31811809,251
ur68483956,252
ur1259663,253
ur35635716,254
ur35295243,255
ur37517476,256
ur65257570,257
ur34185292,258
ur68173442,259
ur20725041,260
ur1776889,261
ur2567136,262
ur65338389,263
ur65139773,264
ur58594438,265
ur19312148,266
ur19017370,267
ur2976262,268
ur1721672,269
ur39958836,270
ur29074919,271
ur29659325,272
ur34845698,273
ur33673156,274
ur70242945,275
ur0001220,276
ur1433329,277
ur15896852,278
ur58365558,279
ur33907744,280
ur1019294,281
ur18671326,282
ur52214123,283
ur39727914,284
ur38492175,285
ur1174539,286
ur0574268,287
ur0746867,288
ur61858933,289
ur26591649,290
ur81886769,291
ur59563264,292
ur1696608,293
ur27361979,294
ur28468609,295
ur49512778,296
ur99857038,297
ur4067661,298
ur6439875,299
ur65144138,300
ur16666241,301
ur30171044,302
ur5146276,303
ur58619890,304
ur36246296,305
ur29592278,306
ur1390493,307
ur22746378,308
ur78746336,309
ur49074014,310
ur23512880,311
ur48747143,312
ur19687033,313
